id,location_list,image1_block_planation,number_of_plants,planta_name_text,status,created_at,updated_at,plantation_type_id,submitted_by_id,location_lat,location_long,goverment_departmet_id,land_ownership_id,plantationArea,block_code_id,dict_code_id,gp_code_id
47806,"28.696462,72.426883,28.696636,72.426955,28.696688,72.427393,28.696387,72.427408",images/blockplantation/b6741c25-a356-4b63-8f28-a4bf536f8bd6.jpg,100,"Khejri: 50, Neem: 50",FALSE,2024-08-31 09:52:29.657415+05:30,2024-08-31 09:52:29.657432+05:30,1,23050,28.6963583,72.4274019,6,7,2,810103,101,810103070
47807,"29.137805,74.875480,29.137863,74.875409,29.137880,74.875412,29.137957,74.875397,29.137999,74.875388,29.138087,74.875404,29.138134,74.875418,29.138171,74.875415,29.138244,74.875423,29.138296,74.875423,29.138345,74.875423,29.138380,74.875431,29.138421,74.875428,29.138462,74.875441,29.138505,74.875434,29.138566,74.875426,29.138626,74.875434,29.138691,74.875480,29.138763,74.875493,29.138817,74.875492,29.138860,74.875493",images/blockplantation/d0857242-3ce2-4d0e-ad01-0cda4d193483.jpg,100,"Jamun: 50, Neem: 5, Arjun: 10, Bargad: 2, Safed Kikar: 2, Khejri: 3, Moringa: 2, Seesam: 2, Kachnar: 2, Amaltas: 2, Amrood: 2, Gular: 10, Ardu: 2, Harsingar: 1, Bahera: 1, Bael: 1, Lemon: 1, Mango: 1, Mosambi: 1",FALSE,2024-08-31 09:56:11.269046+05:30,2024-08-31 09:56:11.26907+05:30,1,75878,29.1388669,74.8755305,2,7,1,810003,100,810003030
47808,"29.137741,74.875572,29.137755,74.875552,29.137790,74.875538,29.137818,74.875554,29.137846,74.875560,29.137888,74.875549,29.137912,74.875538,29.137928,74.875532,29.137944,74.875532,29.137958,74.875533,29.137976,74.875537,29.138015,74.875545,29.138033,74.875547,29.138060,74.875554,29.138083,74.875554,29.138096,74.875554,29.138121,74.875570,29.138127,74.875573,29.138164,74.875580,29.138178,74.875570,29.138196,74.875518,29.138237,74.875517,29.138259,74.875520,29.138274,74.875525,29.138295,74.875535,29.138323,74.875550,29.138338,74.875552,29.138359,74.875546,29.138388,74.875536,29.138405,74.875538,29.138440,74.875542,29.138463,74.875543,29.138473,74.875542,29.138531,74.875547,29.138590,74.875552,29.138619,74.875559,29.138645,74.875560,29.138672,74.875560,29.138696,74.875563,29.138715,74.875557,29.138730,74.875549,29.138752,74.875545,29.138767,74.875548,29.138791,74.875557,29.138804,74.875566",images/blockplantation/72179845-6317-48d9-92b4-160c47d12774.jpg,100,"Jamun: 50, Neem: 5, Arjun: 10, Bargad: 2, Kikar: 2, Khejri: 3, Moringa: 2, Seesam: 2, Kachnar: 2, Amaltas: 2, Amrood: 2, Gular: 10, Ardu: 2, Harsingar: 1, Bahera: 1, Bael: 1, Lemon: 1, Mango: 1, Mosambi: 1",FALSE,2024-08-31 09:56:23.767215+05:30,2024-08-31 09:56:23.767233+05:30,1,75878,29.1387956,74.8755947,2,7,1,810003,100,810003030
47809,"28.696695,72.426477,28.696843,72.426462,28.696869,72.426585,28.696738,72.426695",images/blockplantation/6c40519d-e7f5-4dfc-aa57-2d7d466305c0.jpg,100,"Khejri: 50, Neem: 50",FALSE,2024-08-31 09:58:21.452066+05:30,2024-08-31 09:58:21.452086+05:30,1,23050,28.6968697,72.4266292,6,7,2,810103,101,810103070
47810,"28.696742,72.426400,28.696898,72.426246,28.696707,72.426315,28.696620,72.426416",images/blockplantation/9469547f-4a86-4362-b11a-3412c31acc70.jpg,100,"Khejri: 50, Neem: 50",FALSE,2024-08-31 10:02:17.672112+05:30,2024-08-31 10:02:17.672131+05:30,1,23050,28.6965858,72.4264051,6,9,1,810103,101,810103070
47811,"28.695893,72.425383,28.695851,72.425122,28.695734,72.425227,28.695722,72.425410",images/blockplantation/75989a63-43e3-4db9-b972-ed566346406b.jpg,200,"Neem: 100, Khejri: 100",FALSE,2024-08-31 10:07:20.208298+05:30,2024-08-31 10:07:20.208316+05:30,1,23050,28.6957265,72.4254184,6,11,2,810103,101,810103070
47812,"29.138827,74.875732,29.138828,74.875744,29.138811,74.875883,29.138787,74.875974,29.138774,74.876074,29.138741,74.876232,29.138701,74.876304,29.138737,74.876248,29.138629,74.876349,29.138713,74.876428,29.138727,74.876552,29.138673,74.876673,29.138617,74.876812,29.138536,74.876811,29.138456,74.876850,29.138334,74.876791,29.138263,74.876741,29.138202,74.876662,29.138108,74.876643,29.138030,74.876610,29.138030,74.876517,29.137953,74.876409,29.137824,74.876356,29.137759,74.876327",images/blockplantation/7532f5c6-6c06-4f4c-8069-383c5d019f84.jpg,100,"Neem: 5, Arjun: 5, Peepal: 2, Bargad: 2, Sagon: 2, Gular: 3, Safed Kikar: 3, Seesam: 3, Neem: 5, Jamun: 25, Amla: 5, Arjun: 5, Peepal: 3, Bargad: 1, Sagon: 3, Gular: 2, Mosambi: 3, Amaltas: 6, Ardu: 1, Harsingar: 3, Kachnar: 6, Lemon: 3, Moringa: 3, Bahera: 1",FALSE,2024-08-31 10:15:56.818659+05:30,2024-08-31 10:15:56.818681+05:30,1,75878,29.1387134,74.8763992,2,7,1.7,810003,100,810003030
47813,"29.138846,74.875706,29.138844,74.875727,29.138831,74.875781,29.138829,74.875811,29.138827,74.875845,29.138817,74.875882,29.138804,74.875928,29.138798,74.875963,29.138770,74.876048,29.138770,74.876092,29.138768,74.876134,29.138751,74.876199,29.138828,74.876534,29.138835,74.876573,29.138824,74.876628,29.138802,74.876690,29.138752,74.876711,29.138658,74.876641,29.138608,74.876637,29.138563,74.876620,29.138509,74.876644,29.138413,74.876612,29.138365,74.876586,29.138326,74.876599,29.138240,74.876572,29.138165,74.876561,29.138152,74.876487,29.138112,74.876408,29.137815,74.876282,29.137741,74.876242,29.137692,74.876282",images/blockplantation/d8acb494-737c-46f1-b008-4587ba110584.jpg,100,"Neem: 5, Arjun: 5, Peepal: 2, Bargad: 2, Sagon: 2, Gular: 3, Kikar: 3, Seesam: 3, Neem: 5, Jamun: 25, Amla: 5, Arjun: 5, Peepal: 3, Bargad: 1, Sagon: 3, Gular: 2, Mango: 3, Bael: 3, Amrood: 6, Khejri: 9, Moringa: 3, Bahera: 2",FALSE,2024-08-31 10:16:02.344594+05:30,2024-08-31 10:16:02.344617+05:30,1,75878,29.1387539,74.8763047,2,7,1.7,810003,100,810003030
47814,"28.685275,72.451477,28.685472,72.451488,28.685488,72.451404,28.685353,72.451253",images/blockplantation/c79ed0ac-3f5a-4a92-ba2f-199d67e9ccab.jpg,100,"Neem: 50, Khejri: 50",FALSE,2024-08-31 10:20:40.147024+05:30,2024-08-31 10:20:40.147047+05:30,1,23050,28.6852652,72.4514477,6,7,1,810103,101,810103070
47815,"29.076481,74.783317,29.076465,74.783298,29.076465,74.783298,29.076465,74.783298",images/blockplantation/56313006-2c8c-47cb-8a6e-d5103ca5e8cd.jpg,300,Neem: 300,FALSE,2024-08-31 10:27:37.896751+05:30,2024-08-31 10:27:37.896769+05:30,2,75866,29.0764915,74.7830482,2,7,1,810003,100,810003100
